,dealer_card,dealer_value,dealer_bust,init_hand,hit,result,outcome
473,3,25,1,11,2,-1.0,0
474,10,25,1,12,3,-1.0,0
475,4,21,0,14,1,0.0,1
476,6,17,0,10,2,1.0,1
477,9,18,0,21,0,1.0,0
478,9,22,1,11,2,-1.0,0
479,5,26,1,20,0,1.0,0
480,2,26,1,20,0,1.0,0
481,J,19,0,12,2,-1.0,0
482,4,19,0,14,2,1.0,1
483,9,20,0,18,1,-1.0,0
484,2,18,0,14,1,-1.0,0
485,7,22,1,20,1,-1.0,0
486,A,18,0,11,2,-1.0,0
487,4,18,0,17,1,-1.0,0
488,9,17,0,15,1,1.0,1
489,A,17,0,20,1,-1.0,0
490,2,24,1,13,1,-1.0,0
491,K,20,0,17,2,-1.0,0
492,5,25,1,8,2,-1.0,0
493,A,20,0,13,0,-1.0,1
494,Q,19,0,18,2,-1.0,0
495,K,22,1,17,1,-1.0,0
496,9,17,0,8,2,-1.0,0
497,3,17,0,16,1,-1.0,0
498,7,26,1,10,2,-1.0,0
499,3,18,0,16,1,1.0,1
500,4,19,0,13,2,-1.0,0
501,A,18,0,16,1,-1.0,0
502,6,17,0,15,2,-1.0,0
503,4,17,0,12,3,-1.0,0
504,2,21,0,13,1,-1.0,0
505,8,18,0,14,1,-1.0,0
506,K,20,0,20,1,-1.0,0
507,5,17,0,8,2,-1.0,0
508,3,19,0,17,1,-1.0,0
509,Q,20,0,13,0,-1.0,1
510,K,21,0,18,0,-1.0,1
511,7,22,1,15,3,-1.0,0
512,9,18,0,12,0,-1.0,1
513,8,19,0,18,1,-1.0,0
514,Q,21,0,8,0,-1.0,1
515,6,17,0,20,1,-1.0,0
516,Q,23,1,5,2,-1.0,0
517,9,17,0,9,2,-1.0,0
518,8,18,0,20,4,-1.0,0
519,Q,21,0,12,0,-1.0,1
520,10,20,0,10,2,-1.0,0
521,3,19,0,5,2,-1.0,0
522,10,21,0,13,0,-1.0,1
523,J,20,0,18,1,-1.0,0
524,J,26,1,19,2,-1.0,0
525,5,24,1,19,1,-1.0,0
526,7,23,1,14,1,-1.0,0
527,10,21,0,19,2,-1.0,0
528,6,21,0,12,1,0.0,1
529,4,20,0,20,4,-1.0,0
530,9,19,0,10,2,-1.0,0
531,J,21,0,18,2,-1.0,0
532,7,17,0,13,1,-1.0,0
533,10,20,0,12,2,-1.0,0
534,4,23,1,12,1,-1.0,0
535,5,22,1,9,3,-1.0,0
536,5,25,1,8,3,-1.0,0
537,6,21,0,12,2,-1.0,0
538,3,22,1,9,2,-1.0,0
539,10,20,0,18,1,-1.0,0
540,A,23,1,16,1,-1.0,0
541,8,17,0,8,3,-1.0,0
542,10,18,0,16,1,-1.0,0
543,6,17,0,12,2,-1.0,0
544,Q,23,1,18,1,-1.0,0
545,4,24,1,15,2,1.0,1
546,5,18,0,19,1,-1.0,0
547,5,23,1,20,1,-1.0,0
548,5,19,0,20,0,1.0,0
549,K,20,0,15,1,1.0,1
550,7,17,0,16,2,-1.0,0
551,J,21,0,16,1,-1.0,0
552,A,17,0,16,2,1.0,1
553,10,18,0,15,2,1.0,1
554,5,18,0,12,1,-1.0,0
555,4,24,1,12,1,-1.0,0
556,Q,23,1,8,2,-1.0,0
557,K,19,0,12,0,-1.0,1
558,K,19,0,13,2,-1.0,0
559,8,18,0,14,2,-1.0,0
560,K,20,0,15,1,-1.0,0
561,10,26,1,12,1,-1.0,0
562,4,23,1,12,1,-1.0,0
563,4,24,1,11,4,-1.0,0
564,5,22,1,14,3,1.0,1
565,5,22,1,13,1,1.0,1
566,10,17,0,13,2,-1.0,0
567,7,17,0,19,1,-1.0,0
568,9,17,0,12,2,-1.0,0
569,3,20,0,20,1,1.0,1
570,2,21,0,17,1,-1.0,0
571,2,20,0,17,1,1.0,1
572,K,22,1,16,2,-1.0,0
573,6,17,0,19,2,-1.0,0
574,Q,20,0,21,0,1.0,0
575,7,24,1,14,1,-1.0,0
576,9,26,1,14,1,-1.0,0
577,8,17,0,15,1,1.0,1
578,2,21,0,10,2,-1.0,0
579,A,20,0,16,1,-1.0,0
580,A,21,0,20,0,-1.0,1
581,10,20,0,17,1,-1.0,0
582,5,20,0,9,1,0.0,1
583,2,23,1,15,2,1.0,1
584,8,21,0,20,1,-1.0,0
585,5,22,1,7,4,-1.0,0
586,J,23,1,17,1,-1.0,0
587,7,18,0,15,1,-1.0,0
588,3,17,0,20,1,-1.0,0
589,10,20,0,19,1,-1.0,0
590,K,17,0,16,1,-1.0,0
591,J,20,0,6,2,-1.0,0
592,7,20,0,7,3,1.0,1
593,7,21,0,4,2,-1.0,0
594,A,19,0,16,1,-1.0,0
595,4,17,0,9,2,-1.0,0
596,J,23,1,19,1,-1.0,0
597,8,18,0,10,2,-1.0,0
598,10,17,0,12,4,-1.0,0
599,K,21,0,21,0,0.0,0
600,6,23,1,7,4,-1.0,0
601,J,22,1,20,1,1.0,1
602,J,20,0,18,1,-1.0,0
603,7,18,0,15,1,-1.0,0
604,A,20,0,16,2,-1.0,0
605,8,22,1,15,1,-1.0,0
606,9,19,0,5,3,-1.0,0
607,Q,17,0,20,1,-1.0,0
608,9,23,1,16,1,-1.0,0
609,2,22,1,19,2,-1.0,0
610,5,20,0,10,2,0.0,1
611,K,22,1,19,1,-1.0,0
612,9,20,0,15,2,1.0,1
613,K,21,0,18,2,-1.0,0
614,Q,20,0,14,0,-1.0,1
615,7,21,0,4,2,-1.0,0
616,Q,21,0,14,0,-1.0,1
617,4,18,0,9,2,-1.0,0
618,4,22,1,16,2,-1.0,0
619,K,24,1,11,1,1.0,1
620,10,25,1,15,2,-1.0,0
621,10,24,1,16,1,-1.0,0
622,3,17,0,14,3,-1.0,0
623,2,20,0,19,1,-1.0,0
624,2,23,1,15,1,-1.0,0
625,2,22,1,20,0,1.0,0
626,10,24,1,12,2,1.0,1
627,10,24,1,9,2,-1.0,0
628,K,20,0,11,1,-1.0,0
629,3,22,1,17,2,-1.0,0
630,6,26,1,11,1,1.0,1
631,4,24,1,10,1,1.0,1
632,J,18,0,7,2,-1.0,0
633,10,20,0,14,0,-1.0,1
634,A,21,0,18,0,-1.0,1
635,8,20,0,8,2,-1.0,0
636,5,20,0,21,0,1.0,0
637,5,21,0,13,1,-1.0,0
638,J,20,0,14,0,-1.0,1
639,7,18,0,17,1,-1.0,0
640,9,19,0,16,1,-1.0,0
641,9,19,0,9,1,-1.0,0
642,5,18,0,18,2,-1.0,0
643,J,20,0,20,1,-1.0,0
644,J,19,0,19,2,-1.0,0
645,3,23,1,14,3,-1.0,0
646,A,17,0,17,1,-1.0,0
647,6,21,0,19,2,-1.0,0
648,K,17,0,12,3,-1.0,0
649,10,19,0,15,2,1.0,1
650,9,18,0,13,1,-1.0,0
651,7,26,1,20,1,-1.0,0
652,9,19,0,10,3,-1.0,0
653,9,18,0,14,1,-1.0,0
654,J,20,0,13,0,-1.0,1
655,J,20,0,9,2,-1.0,0
656,2,19,0,9,2,-1.0,0
657,2,24,1,11,2,-1.0,0
658,J,19,0,14,2,-1.0,0
659,4,24,1,19,1,-1.0,0
660,7,18,0,9,2,-1.0,0
661,A,18,0,15,1,-1.0,0
662,A,20,0,17,1,-1.0,0
663,3,23,1,9,1,1.0,1
664,2,22,1,16,1,-1.0,0
665,3,18,0,8,2,-1.0,0
666,Q,20,0,18,1,-1.0,0
667,6,23,1,16,2,-1.0,0
668,4,24,1,10,2,-1.0,0
669,10,20,0,18,3,-1.0,0
670,J,24,1,14,1,1.0,1
671,4,18,0,7,3,-1.0,0
672,Q,23,1,15,2,-1.0,0
673,J,22,1,16,4,-1.0,0
674,3,24,1,20,1,-1.0,0
675,9,19,0,11,1,1.0,1
676,7,17,0,17,2,-1.0,0
677,2,17,0,14,2,-1.0,0
678,4,24,1,18,1,-1.0,0
679,K,17,0,9,2,-1.0,0
680,9,18,0,8,2,-1.0,0
681,5,23,1,12,1,-1.0,0
682,2,22,1,16,3,-1.0,0
683,K,19,0,8,2,-1.0,0
684,K,22,1,19,3,1.0,1
685,4,24,1,18,1,-1.0,0
