,dealer_card,dealer_value,dealer_bust,init_hand,hit,result,outcome,,Epoc Number,20,30,40,50,200
270,Q,18,0,21,0,1,0,,,,,,,
271,5,17,0,6,3,-1,0,,,,,,,
272,K,17,0,15,2,1,1,,,,,,,
273,10,17,0,7,2,-1,0,,,,,,,
274,2,18,0,15,1,-1,0,,,,,,,
275,6,19,0,9,1,0,1,,,,,,,
276,K,17,0,8,2,-1,0,,,,,,,
277,6,24,1,11,2,-1,0,,,,,,,
278,J,20,0,18,0,-1,1,,,,,,,
279,4,20,0,6,3,-1,0,,,,,,,
280,3,19,0,12,0,-1,1,,,,,,,
281,8,18,0,16,0,-1,1,,,,,,,
282,J,17,0,14,0,-1,1,,,,,,,
283,7,18,0,12,0,-1,1,,,,,,,
284,5,17,0,20,1,-1,0,,,,,,,
285,7,25,1,10,2,1,1,,,,,,,
286,10,20,0,20,1,-1,0,,,,,,,
287,6,17,0,12,0,-1,1,,,,,,,
288,2,18,0,12,2,1,1,,,,,,,
289,9,19,0,20,1,-1,0,,,,,,,
290,4,18,0,16,3,-1,0,,,,,,,
291,3,18,0,8,1,-1,0,,,,,,,
292,8,18,0,18,1,-1,0,,,,,,,
293,2,22,1,20,1,-1,0,,,,,,,
294,6,23,1,11,2,-1,0,,,,,,,
295,4,20,0,18,1,-1,0,,,,,,,
296,10,21,0,17,2,-1,0,,,,,,,
297,2,22,1,17,1,-1,0,,,,,,,
298,6,22,1,20,1,-1,0,,,,,,,
299,10,20,0,15,0,-1,1,,,,,,,
300,9,19,0,19,1,-1,0,,,,,,,
301,3,20,0,16,1,-1,0,,,,,,,
302,K,17,0,6,2,-1,0,,,,,,,
303,2,21,0,21,0,0,0,,,,,,,
304,6,21,0,5,3,-1,0,,,,,,,
305,5,21,0,15,1,-1,0,,,,,,,
306,5,20,0,16,1,-1,0,,,,,,,
307,3,17,0,13,1,-1,0,,,,,,,
308,A,18,0,13,0,-1,1,,,,,,,
309,Q,21,0,20,0,-1,1,,,,,,,
310,K,20,0,13,0,-1,1,,,,,,,
311,J,17,0,12,0,-1,1,,,,,,,
312,2,22,1,20,1,-1,0,,,,,,,
313,2,21,0,17,2,-1,0,,,,,,,
314,9,19,0,14,0,-1,1,,,,,,,
315,2,18,0,18,1,-1,0,,,,,,,
316,7,20,0,9,1,-1,0,,,,,,,
317,J,23,1,13,1,-1,0,,,,,,,
318,3,20,0,16,0,-1,1,,,,,,,
319,2,22,1,13,1,1,1,,,,,,,
320,3,18,0,16,1,-1,0,,,,,,,
321,J,20,0,16,0,-1,1,,,,,,,
322,9,20,0,9,2,-1,0,,,,,,,
323,5,25,1,16,1,-1,0,,,,,,,
324,4,23,1,21,0,1,0,,,,,,,
325,3,23,1,20,1,1,1,,,,,,,
326,3,21,0,10,3,-1,0,,,,,,,
327,J,23,1,10,2,-1,0,,,,,,,
328,10,21,0,6,0,-1,1,,,,,,,
329,A,21,0,21,0,0,0,,,,,,,
330,7,18,0,7,2,-1,0,,,,,,,
331,5,25,1,18,1,1,1,,,,,,,
332,3,21,0,12,1,-1,0,,,,,,,
333,Q,19,0,17,0,-1,1,,,,,,,
334,9,24,1,18,1,1,1,,,,,,,
335,7,23,1,14,2,-1,0,,,,,,,
336,8,22,1,16,1,-1,0,,,,,,,
337,5,18,0,9,1,1,1,,,,,,,
338,K,20,0,20,1,-1,0,,,,,,,
339,6,18,0,21,0,1,0,,,,,,,
340,9,19,0,13,0,-1,1,,,,,,,
341,K,18,0,20,1,-1,0,,,,,,,
342,K,20,0,13,0,-1,1,,,,,,,
343,J,22,1,21,0,1,0,,,,,,,
344,4,22,1,17,1,-1,0,,,,,,,
345,6,18,0,19,2,-1,0,,,,,,,
346,3,17,0,20,3,-1,0,,,,,,,
347,K,20,0,15,0,-1,1,,,,,,,
348,Q,20,0,13,0,-1,1,,,,,,,
349,Q,23,1,18,1,1,1,,,,,,,
350,8,19,0,21,0,1,0,,,,,,,
351,3,20,0,20,1,-1,0,,,,,,,
352,3,22,1,18,1,-1,0,,,,,,,
353,2,21,0,7,3,-1,0,,,,,,,
354,K,18,0,18,1,-1,0,,,,,,,
355,K,17,0,17,1,-1,0,,,,,,,
356,K,18,0,18,3,-1,0,,,,,,,
357,8,18,0,20,1,-1,0,,,,,,,
358,6,22,1,12,0,1,0,,,,,,,
359,8,26,1,21,0,1,0,,,,,,,
360,Q,21,0,14,2,-1,0,,,,,,,
361,K,23,1,19,1,-1,0,,,,,,,
362,4,21,0,11,2,-1,0,,,,,,,
363,6,25,1,9,2,-1,0,,,,,,,
364,10,20,0,20,1,-1,0,,,,,,,
365,3,20,0,11,2,-1,0,,,,,,,
366,Q,19,0,13,0,-1,1,,,,,,,
367,A,21,0,12,0,-1,1,,,,,,,
368,Q,18,0,16,0,-1,1,,,,,,,
369,5,23,1,17,1,-1,0,,,,,,,
370,10,20,0,11,1,-1,0,,,,,,,
371,J,20,0,14,0,-1,1,,,,,,,
372,2,21,0,19,1,-1,0,,,,,,,
373,8,18,0,17,3,-1,0,,,,,,,
374,10,20,0,12,0,-1,1,,,,,,,
375,10,20,0,21,0,1,0,,,,,,,
376,3,20,0,14,2,-1,0,,,,,,,
377,A,20,0,10,2,-1,0,,,,,,,
378,Q,20,0,10,1,-1,0,,,,,,,
379,Q,24,1,14,2,-1,0,,,,,,,
380,7,20,0,16,2,-1,0,,,,,,,
381,10,20,0,17,0,-1,1,,,,,,,
382,6,21,0,17,3,-1,0,,,,,,,
383,3,17,0,11,1,1,1,,,,,,,
384,10,25,1,8,2,-1,0,,,,,,,
385,3,23,1,12,2,-1,0,,,,,,,
386,A,19,0,14,0,-1,1,,,,,,,
387,2,22,1,6,2,-1,0,,,,,,,
388,7,20,0,20,1,-1,0,,,,,,,
389,A,21,0,21,0,0,0,,,,,,,
390,4,19,0,18,1,-1,0,,,,,,,
391,8,18,0,11,1,-1,0,,,,,,,
392,4,22,1,18,2,-1,0,,,,,,,
393,4,26,1,16,2,-1,0,,,,,,,
394,Q,20,0,4,1,-1,0,,,,,,,
395,K,19,0,14,0,-1,1,,,,,,,
396,5,25,1,17,1,1,1,,,,,,,
397,Q,20,0,16,0,-1,1,,,,,,,
398,5,20,0,14,0,-1,1,,,,,,,
