,dealer_card,dealer_value,dealer_bust,init_hand,hit,result,outcome,#Change these outputs in the simulator to get to the correct data.
533,8,19,0,8,1,-1,0,
534,K,20,0,14,0,-1,1,
535,3,23,1,20,0,1,0,
536,3,19,0,12,0,-1,1,
537,K,21,0,19,0,-1,1,
538,A,24,1,17,0,1,0,
539,7,18,0,18,0,0,0,
540,J,21,0,20,0,-1,1,
541,7,20,0,10,1,0,1,
542,4,20,0,13,0,-1,1,
543,K,20,0,17,0,-1,1,
544,A,19,0,13,0,-1,1,
545,9,18,0,10,1,1,1,
546,K,20,0,14,0,-1,1,
547,2,17,0,12,0,-1,1,
548,8,19,0,21,0,1,0,
549,7,17,0,7,1,0,1,
550,2,20,0,12,0,-1,1,
551,9,19,0,10,1,1,1,
552,3,17,0,12,0,-1,1,
553,9,19,0,19,0,0,0,
554,5,25,1,18,0,1,0,
555,7,17,0,6,1,-1,0,
556,9,19,0,8,1,-1,0,
557,10,22,1,12,0,1,0,
558,4,21,0,15,0,-1,1,
559,6,21,0,16,0,-1,1,
560,4,18,0,10,1,1,1,
561,3,22,1,18,0,1,0,
562,8,17,0,18,0,1,0,
563,J,20,0,12,0,-1,1,
564,7,19,0,13,0,-1,1,
565,2,18,0,16,0,-1,1,
566,J,17,0,9,1,1,1,
567,5,26,1,12,0,1,0,
568,2,18,0,19,0,1,0,
569,4,20,0,15,0,-1,1,
570,9,20,0,18,0,-1,1,
571,5,19,0,19,0,0,0,
572,J,19,0,17,0,-1,1,
573,8,18,0,15,1,-1,0,
574,9,21,0,19,0,-1,1,
575,K,20,0,15,0,-1,1,
576,K,20,0,15,0,-1,1,
577,2,22,1,17,0,1,0,
578,9,19,0,15,0,-1,1,
579,Q,20,0,13,0,-1,1,
580,7,22,1,13,0,1,0,
581,4,21,0,10,1,-1,0,
582,2,22,1,17,0,1,0,
583,3,17,0,12,0,-1,1,
584,6,17,0,11,1,1,1,
585,8,18,0,9,1,1,1,
586,4,19,0,8,1,0,1,
587,2,20,0,14,0,-1,1,
588,2,20,0,15,0,-1,1,
589,8,18,0,20,0,1,0,
590,8,21,0,10,1,-1,0,
591,10,21,0,20,0,-1,1,
592,9,21,0,18,0,-1,1,
593,9,20,0,21,0,1,0,
594,A,21,0,14,0,-1,1,
595,8,20,0,14,0,-1,1,
596,2,24,1,12,0,1,0,
597,5,24,1,6,1,1,1,
598,3,19,0,14,0,-1,1,
599,4,24,1,17,0,1,0,
600,3,18,0,17,0,-1,1,
601,9,18,0,20,0,1,0,
602,4,19,0,14,0,-1,1,
603,6,26,1,15,0,1,0,
604,7,20,0,17,0,-1,1,
605,10,20,0,11,1,0,1,
606,2,19,0,14,0,-1,1,
607,4,20,0,7,1,-1,0,
608,8,24,1,11,1,1,1,
609,4,17,0,9,1,1,1,
610,7,19,0,20,0,1,0,
611,K,20,0,15,0,-1,1,
612,2,21,0,10,1,-1,0,
613,6,21,0,7,1,-1,0,
614,4,19,0,12,0,-1,1,
615,10,20,0,15,0,-1,1,
616,8,21,0,12,0,-1,1,
617,5,19,0,12,0,-1,1,
618,7,17,0,19,0,1,0,
619,4,23,1,21,0,1,0,
620,5,23,1,18,0,1,0,
621,6,19,0,18,0,-1,1,
622,9,19,0,17,0,-1,1,
623,A,19,0,16,0,-1,1,
624,7,17,0,21,0,1,0,
625,5,21,0,20,0,-1,1,
626,10,21,0,9,1,-1,0,
627,J,17,0,20,0,1,0,
628,J,23,1,14,0,1,0,
629,A,20,0,17,0,-1,1,
630,6,20,0,14,0,-1,1,
631,A,17,0,11,1,1,1,
632,8,20,0,12,0,-1,1,
633,A,21,0,19,0,-1,1,
634,5,23,1,19,0,1,0,
635,A,21,0,20,0,-1,1,
636,9,19,0,16,0,-1,1,
637,9,25,1,18,0,1,0,
638,5,25,1,12,0,1,0,
639,K,21,0,19,0,-1,1,
640,3,20,0,18,0,-1,1,
641,Q,20,0,16,0,-1,1,
642,4,19,0,12,0,-1,1,
643,Q,25,1,16,0,1,0,
644,5,18,0,10,1,-1,0,
645,Q,21,0,13,0,-1,1,
646,2,18,0,14,0,-1,1,
647,Q,18,0,13,1,-1,0,
648,6,22,1,17,0,1,0,
649,7,23,1,16,0,1,0,
650,Q,17,0,10,1,-1,0,
651,10,18,0,19,0,1,0,
652,2,17,0,12,0,-1,1,
653,5,22,1,14,0,1,0,
654,Q,17,0,15,0,-1,1,
655,7,18,0,13,0,-1,1,
656,7,24,1,16,0,1,0,
657,10,19,0,11,1,-1,0,
658,K,19,0,18,0,-1,1,
659,9,19,0,12,0,-1,1,
660,K,24,1,18,0,1,0,
661,K,19,0,12,0,-1,1,
662,Q,20,0,19,0,-1,1,
663,A,21,0,20,0,-1,1,
664,K,17,0,19,0,1,0,
665,6,17,0,7,1,-1,0,
666,5,20,0,20,0,0,0,
667,2,19,0,20,0,1,0,
668,10,21,0,5,0,-1,1,
669,8,17,0,17,0,0,0,
670,2,22,1,14,0,1,0,
671,5,18,0,16,0,-1,1,
672,9,19,0,17,0,-1,1,
673,3,19,0,17,0,-1,1,
674,3,21,0,15,0,-1,1,
675,J,22,1,20,0,1,0,
676,10,20,0,19,0,-1,1,
677,7,17,0,15,0,-1,1,
678,Q,17,0,15,0,-1,1,
679,2,22,1,7,1,1,1,
680,4,22,1,19,0,1,0,
681,9,18,0,17,0,-1,1,
682,2,22,1,10,1,1,1,
683,K,23,1,18,0,1,0,
684,5,17,0,18,0,1,0,
685,K,25,1,12,0,1,0,
686,7,18,0,12,0,-1,1,
687,6,20,0,16,0,-1,1,
688,3,17,0,9,1,1,1,
689,4,21,0,15,0,-1,1,
690,6,23,1,14,0,1,0,
691,5,23,1,8,1,1,1,
692,6,25,1,10,1,1,1,
693,8,25,1,13,0,1,0,
694,2,19,0,7,1,-1,0,
695,10,23,1,16,0,1,0,
696,2,25,1,12,0,1,0,
697,9,19,0,11,1,-1,0,
698,8,18,0,17,0,-1,1,
699,4,24,1,16,0,1,0,
700,K,17,0,16,0,-1,1,
701,J,26,1,19,0,1,0,
702,A,18,0,16,0,-1,1,
703,5,17,0,14,0,-1,1,
704,J,18,0,9,1,-1,0,
705,A,17,0,10,1,1,1,
706,Q,18,0,15,0,-1,1,
707,J,25,1,20,0,1,0,
708,9,18,0,21,0,1,0,
709,A,21,0,18,0,-1,1,
710,A,19,0,9,1,1,1,
711,A,17,0,9,1,-1,0,
712,6,17,0,12,0,-1,1,
713,2,19,0,15,0,-1,1,
714,2,21,0,14,0,-1,1,
715,K,17,0,19,0,1,0,
716,10,20,0,21,0,1,0,
717,6,26,1,15,0,1,0,
718,8,18,0,15,0,-1,1,
719,8,18,0,14,0,-1,1,
720,6,25,1,16,0,1,0,
721,5,19,0,19,0,0,0,
722,7,23,1,19,0,1,0,
723,Q,17,0,21,0,1,0,
724,J,18,0,21,0,1,0,
725,J,20,0,11,1,-1,0,
726,J,18,0,15,0,-1,1,
727,9,22,1,13,0,1,0,
728,4,19,0,19,0,0,0,
729,2,17,0,20,0,1,0,
730,2,19,0,16,0,-1,1,
731,J,19,0,18,0,-1,1,
732,8,25,1,8,1,1,1,
733,3,19,0,18,0,-1,1,
734,A,22,1,18,0,1,0,
735,J,18,0,13,0,-1,1,
736,7,17,0,19,0,1,0,
737,5,20,0,16,0,-1,1,
738,2,25,1,17,0,1,0,
739,Q,24,1,20,0,1,0,
740,5,17,0,12,0,-1,1,
741,A,20,0,10,1,-1,0,
742,5,17,0,11,1,-1,0,
743,4,19,0,21,0,1,0,
744,7,17,0,19,0,1,0,
745,9,18,0,17,0,-1,1,
746,Q,19,0,12,0,-1,1,
747,K,22,1,20,0,1,0,
748,9,19,0,13,0,-1,1,
749,10,19,0,20,0,1,0,
750,K,20,0,11,1,0,1,
751,4,23,1,21,0,1,0,
752,2,17,0,9,1,1,1,
753,8,23,1,10,1,1,1,
754,6,17,0,12,0,-1,1,
755,10,24,1,9,1,1,1,
756,Q,20,0,17,0,-1,1,
757,A,21,0,13,0,-1,1,
758,A,21,0,12,0,-1,1,
759,6,20,0,13,0,-1,1,
760,5,17,0,13,0,-1,1,
761,J,18,0,16,0,-1,1,
762,4,24,1,15,0,1,0,
763,5,25,1,15,0,1,0,
764,K,20,0,12,0,-1,1,
765,A,19,0,18,0,-1,1,
766,A,18,0,20,0,1,0,
767,10,25,1,20,0,1,0,
768,4,21,0,20,0,-1,1,
769,K,26,1,13,0,1,0,
770,J,20,0,10,1,-1,0,
771,10,17,0,7,1,1,1,
772,5,19,0,11,1,-1,0,
773,J,17,0,14,0,-1,1,
774,9,22,1,16,0,1,0,
775,A,20,0,15,0,-1,1,
776,3,18,0,15,0,-1,1,
777,K,26,1,21,0,1,0,
778,Q,20,0,15,0,-1,1,
779,A,21,0,15,0,-1,1,
780,8,18,0,15,0,-1,1,
