,dealer_card,dealer_estimated_value,dealer_bust,init_hand,hit,result,outcome
542,8,4,1,20,0,1.0,0
543,9,12,0,13,2,1.0,1
544,4,10,1,20,0,1.0,0
545,9,20,0,19,1,-1.0,0
546,J,15,1,17,1,-1.0,0
547,3,11,1,21,0,1.0,0
548,2,11,0,9,1,1.0,1
549,6,9,0,15,1,1.0,1
550,K,15,0,9,2,-1.0,0
551,6,7,0,14,1,-1.0,0
552,6,10,1,11,1,1.0,1
553,9,14,0,19,0,1.0,0
554,J,10,1,14,1,1.0,1
555,8,12,0,19,0,1.0,0
556,7,10,0,17,0,1.0,0
557,8,15,0,21,0,1.0,0
558,4,12,0,15,1,-1.0,0
559,Q,20,0,21,0,1.0,0
560,7,11,1,13,1,1.0,1
561,2,10,0,14,1,1.0,1
562,A,12,0,8,1,-1.0,0
563,9,13,1,14,1,-1.0,0
564,K,18,0,13,0,-1.0,1
565,8,9,0,13,2,-1.0,0
566,10,8,1,12,0,1.0,0
567,3,7,1,16,1,-1.0,0
568,8,13,0,20,0,1.0,0
569,4,4,1,18,0,1.0,0
570,J,10,0,11,1,1.0,1
571,5,17,0,19,0,1.0,0
572,10,13,1,14,2,-1.0,0
573,J,15,0,15,1,-1.0,0
574,2,11,0,17,3,-1.0,0
575,10,19,0,14,1,-1.0,0
576,4,9,0,12,1,-1.0,0
577,8,14,0,17,1,-1.0,0
578,Q,15,0,17,1,-1.0,0
579,6,9,1,15,1,1.0,1
580,A,12,0,13,1,1.0,1
581,3,6,0,20,0,-1.0,1
582,J,14,0,17,1,-1.0,0
583,7,2,0,20,0,1.0,0
584,J,22,0,16,4,-1.0,0
585,9,16,0,20,0,1.0,0
586,J,13,0,13,3,1.0,1
587,4,15,0,8,1,-1.0,0
588,K,13,1,17,2,1.0,1
589,9,17,0,17,1,-1.0,0
590,10,18,0,11,2,-1.0,0
591,7,15,0,19,0,1.0,0
592,2,6,0,11,2,1.0,1
593,8,8,1,16,0,1.0,0
594,3,8,1,21,0,1.0,0
595,A,7,0,14,0,-1.0,1
596,6,2,0,8,2,1.0,1
597,5,8,1,11,1,1.0,1
598,Q,16,0,12,2,1.0,1
599,8,19,0,19,0,1.0,0
600,A,22,0,9,0,-1.0,1
601,8,18,0,13,1,-1.0,0
602,3,5,0,15,1,-1.0,0
603,J,14,1,12,2,1.0,1
604,J,10,1,7,2,-1.0,0
605,9,16,0,20,0,1.0,0
606,2,5,1,14,1,1.0,1
607,4,2,0,21,0,1.0,0
608,A,14,0,17,1,-1.0,0
609,10,9,1,4,1,1.0,1
610,K,14,0,16,1,1.0,1
611,J,14,0,8,0,-1.0,1
612,2,-2,1,7,3,-1.0,0
613,5,14,1,20,0,1.0,0
614,10,18,0,12,2,-1.0,0
615,5,9,1,16,2,-1.0,0
616,8,17,0,9,1,1.0,1
617,6,15,0,18,0,-1.0,1
618,9,18,0,11,1,-1.0,0
619,5,13,0,14,1,-1.0,0
620,K,17,0,16,3,-1.0,0
621,4,10,0,17,1,1.0,1
622,3,1,1,20,0,1.0,0
623,7,8,0,20,0,1.0,0
624,4,0,1,20,0,1.0,0
625,7,8,0,19,0,-1.0,1
626,2,6,0,14,1,1.0,1
627,10,15,1,14,1,-1.0,0
628,10,17,1,13,2,1.0,1
629,2,9,0,17,1,-1.0,0
630,2,11,0,12,1,-1.0,0
631,Q,20,0,13,0,-1.0,1
632,4,5,1,15,1,-1.0,0
633,7,12,1,13,1,1.0,1
634,4,11,1,4,3,1.0,1
635,2,4,0,20,0,1.0,0
636,J,15,0,17,1,-1.0,0
637,9,7,0,20,0,1.0,0
638,A,9,0,16,0,-1.0,1
639,10,7,0,16,0,-1.0,1
640,7,5,0,17,0,1.0,0
641,6,11,0,21,0,1.0,0
642,4,10,0,14,1,1.0,1
643,A,17,0,21,0,1.0,0
644,6,11,0,11,1,1.0,1
645,8,13,0,8,3,-1.0,0
646,J,20,0,20,0,-1.0,1
647,K,18,0,15,1,-1.0,0
648,10,11,1,16,0,1.0,0
649,A,18,0,13,0,-1.0,1
650,7,11,1,14,1,1.0,1
