,dealer_card,dealer_value,dealer_bust,init_hand,hit,result,outcome
451,8,17,0,18,0,1.0,0
452,K,18,0,11,0,-1.0,1
453,A,21,0,19,0,-1.0,1
454,9,18,0,15,0,-1.0,1
455,6,19,0,14,0,-1.0,1
456,A,21,0,20,0,-1.0,1
457,J,23,1,13,0,1.0,0
458,Q,20,0,10,0,-1.0,1
459,7,17,0,13,0,-1.0,1
460,K,24,1,11,0,1.0,0
461,J,17,0,6,0,-1.0,1
462,6,20,0,16,0,-1.0,1
463,Q,19,0,20,0,1.0,0
464,4,20,0,18,0,-1.0,1
465,7,23,1,14,0,1.0,0
466,9,18,0,20,0,1.0,0
467,2,26,1,19,0,1.0,0
468,5,24,1,11,0,1.0,0
469,A,21,0,12,0,-1.0,1
470,Q,21,0,14,0,-1.0,1
471,A,24,1,7,1,1.0,1
472,9,20,0,10,0,-1.0,1
473,2,22,1,9,1,1.0,1
474,4,23,1,12,0,1.0,0
475,Q,19,0,20,0,1.0,0
476,3,18,0,20,0,1.0,0
477,K,20,0,21,0,1.0,0
478,9,19,0,16,0,-1.0,1
479,Q,26,1,12,0,1.0,0
480,2,18,0,5,0,-1.0,1
481,8,24,1,10,1,1.0,1
482,6,25,1,7,1,1.0,1
483,7,17,0,15,0,-1.0,1
484,K,17,0,19,0,1.0,0
485,K,23,1,20,0,1.0,0
486,3,23,1,20,0,1.0,0
487,K,20,0,21,0,1.0,0
488,9,22,1,19,0,1.0,0
489,2,21,0,7,0,-1.0,1
490,Q,22,1,12,0,1.0,0
491,4,19,0,13,0,-1.0,1
492,K,20,0,16,0,-1.0,1
493,K,20,0,19,0,-1.0,1
494,6,24,1,10,0,1.0,0
495,8,22,1,21,0,1.0,0
496,9,18,0,17,0,-1.0,1
497,7,17,0,5,0,-1.0,1
498,K,21,0,14,0,-1.0,1
499,7,17,0,19,0,1.0,0
500,4,18,0,16,0,-1.0,1
501,Q,21,0,16,0,-1.0,1
502,7,22,1,13,0,1.0,0
503,A,19,0,10,1,-1.0,0
504,10,20,0,18,0,-1.0,1
505,8,17,0,8,0,-1.0,1
506,2,20,0,11,1,1.0,1
507,K,17,0,12,0,-1.0,1
508,9,17,0,15,0,-1.0,1
509,K,17,0,19,0,1.0,0
510,J,26,1,19,0,1.0,0
511,J,20,0,17,0,-1.0,1
